Month & Year,Wagon Placement,Opening Balance,Available Warehouse capacity,Available Manpower,Demurrage Hours,Number of wagons placed,Day of Arrival,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Working/Non-working (Yes/No),Working,Arrival time of wagons
,52,22785.851,13350.149,84,0,29,Wed,0,0,0,1,0,0,0,Yes,1,6
,53,22785.851,13350.149,84,0,26,Sat,0,0,0,0,0,0,1,No,0,12.25
Jan_17,54,22673.111,13462.889,84,0,21,Tue,0,0,1,0,0,0,0,Yes,1,7
,55,22673.111,13462.889,84,24,42,Sun,1,0,0,0,0,0,0,No,0,15.41666667
,56,19813.253,16322.747,84,22,58,Thu,0,0,0,0,1,0,0,Yes,1,17
,57,21002.241,15133.759,84,28,42,Wed,0,0,0,1,0,0,0,Yes,1,18.16666667
Feb_17,58,20645.441,15490.559,84,21,42,Tue,0,0,1,0,0,0,0,Yes,1,20.5
,59,20645.441,15490.559,84,5,58,Mon,0,1,0,0,0,0,0,Yes,1,12.25
,60,24674.601,11461.399,84,0,42,Sat,0,0,0,0,0,0,1,No,0,9.416666667
,61,24674.601,11461.399,84,21,21,Sun,1,0,0,0,0,0,0,No,0,6
,62,24674.601,11461.399,84,16,58,Wed,0,0,0,1,0,0,0,Yes,1,6
Mar_17,63,23367.265,12768.735,84,0,29,Wed,0,0,0,1,0,0,0,Yes,1,6
,64,24382.694,11753.306,84,0,21,Tue,0,0,1,0,0,0,0,Yes,1,15.08333333
,65,24112.424,12023.576,84,0,21,Fri,0,0,0,0,0,1,0,Yes,1,6
,66,24112.424,12023.576,84,0,21,Fri,0,0,0,0,0,1,0,Yes,1,18.5
,67,23245.387,12890.613,84,0,21,Tue,0,0,1,0,0,0,0,Yes,1,15
,68,23245.387,12890.613,84,0,21,Fri,0,0,0,0,0,1,0,Yes,1,6
Apr_17,69,24172.278,11963.722,84,26,21,Sat,0,0,0,0,0,0,1,No,0,16.25
,70,24908.215,11227.785,84,1,29,Tue,0,0,1,0,0,0,0,Yes,1,7.5
,71,26006.705,10129.295,84,2,29,Wed,0,0,0,1,0,0,0,Yes,1,6
,72,26006.705,10129.295,84,13,29,Thu,0,0,0,0,1,0,0,Yes,1,13
,73,26006.705,10129.295,84,1,29,Sat,0,0,0,0,0,0,1,No,0,6
,74,26006.705,10129.295,84,26,29,Sat,0,0,0,0,0,0,1,No,0,20
,75,28158.225,7977.775,84,0,29,Sat,0,0,0,0,0,0,1,No,0,13.16666667
May_17,76,28328.192,7807.808,84,10,29,Thu,0,0,0,0,1,0,0,Yes,1,14.66666667
,77,29086.49,7049.51,84,0,29,Fri,0,0,0,0,0,1,0,Yes,1,6
,78,29086.49,7049.51,84,0,29,Mon,0,1,0,0,0,0,0,Yes,1,6
,79,29096.957,7039.043,84,0,29,Fri,0,0,0,0,0,1,0,Yes,1,6
Jun_17,80,27771.847,8364.153,84,0,29,Sat,0,0,0,0,0,0,1,No,0,10.5
,81,27771.847,8364.153,84,0,21,Wed,0,0,0,1,0,0,0,Yes,1,6
,82,29152.004,6983.996,84,0,27,Fri,0,0,0,0,0,1,0,Yes,1,6
,83,29152.004,6983.996,84,2,29,Wed,0,0,0,1,0,0,0,Yes,1,6.166666667
,84,30162.06,5973.94,84,0,28,Fri,0,0,0,0,0,1,0,Yes,1,6
,85,29939.929,6196.071,84,0,21,Wed,0,0,0,1,0,0,0,Yes,1,15
Jul_17,86,28727.601,7408.399,84,0,21,Sat,0,0,0,0,0,0,1,No,0,6
,87,28727.601,7408.399,84,0,21,Fri,0,0,0,0,0,1,0,Yes,1,19.91666667
,88,29476.779,6659.221,84,3,21,Wed,0,0,0,1,0,0,0,Yes,1,16.41666667
,89,29476.779,6659.221,84,1,29,Sat,0,0,0,0,0,0,1,No,0,9.5
,90,31058.338,5077.662,84,0,21,Fri,0,0,0,0,0,1,0,Yes,1,13.58333333
,91,30516.545,5619.455,84,0,21,Fri,0,0,0,0,0,1,0,Yes,1,12.16666667
,92,30516.545,5619.455,84,1,29,Mon,0,1,0,0,0,0,0,Yes,1,9
Aug_17,93,31212.208,4923.792,84,0,21,Sat,0,0,0,0,0,0,1,No,0,6
,94,31212.208,4923.792,84,0,29,Fri,0,0,0,0,0,1,0,Yes,1,8.833333333
,95,29645.892,6490.108,84,0,21,Wed,0,0,0,1,0,0,0,Yes,1,9
,96,30186.412,5949.588,84,13,29,Mon,0,1,0,0,0,0,0,Yes,1,14
