Month & Year,Wagon Placement,Opening Balance,Available Warehouse capacity,Available Manpower,Demurrage Hours,Number of wagons placed,Day of Arrival,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Working/Non-working (Yes/No),Working,Arrival time of wagons
,53,9268.047,6051.953,58,2,21,Thu,0,0,0,0,1,0,0,Yes,1,19.08333333
Apr_17,54,9327.396,5992.604,58,2,29,Tue,0,0,1,0,0,0,0,Yes,1,6
,55,9234.506,6085.494,58,2,29,Mon,0,1,0,0,0,0,0,Yes,1,21.66666667
,56,9234.506,6085.494,58,1,21,Fri,0,0,0,0,0,1,0,Yes,1,9.333333333
,57,9234.506,6085.494,58,4,29,Sat,0,0,0,0,0,0,1,No,0,6
May_17,58,10085.808,5234.192,58,2,29,Fri,0,0,0,0,0,1,0,Yes,1,6
,59,10701.222,4618.778,58,2,21,Tue,0,0,1,0,0,0,0,Yes,1,9.166666667
,60,10701.222,4618.778,58,13,28,Fri,0,0,0,0,0,1,0,Yes,1,12.16666667
,61,10166.507,5153.493,58,3,29,Thu,0,0,0,0,1,0,0,Yes,1,16.5
Jun_17,62,8419.868,6900.132,58,4,29,Thu,0,0,0,0,1,0,0,Yes,1,15.66666667
,63,8419.868,6900.132,58,18,21,Sun,1,0,0,0,0,0,0,No,0,6
,64,8419.868,6900.132,58,0,21,Tue,0,0,1,0,0,0,0,Yes,1,13.83333333
,65,11201.43,4118.57,58,0,20,Tue,0,0,1,0,0,0,0,Yes,1,6
,66,11201.43,4118.57,58,3,29,Wed,0,0,0,1,0,0,0,Yes,1,6
,67,11865.033,3454.967,58,5,29,Thu,0,0,0,0,1,0,0,Yes,1,16
,68,11492.412,3827.588,58,1,28,Thu,0,0,0,0,1,0,0,Yes,1,6
Jul_17,69,11490.993,3829.007,58,0,21,Sat,0,0,0,0,0,0,1,No,0,7.75
