Month & Year,Wagon Placement,Opening Balance,Available Warehouse capacity,Available Manpower,Demurrage Hours,Number of wagons placed,Day of Arrival,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Working/Non-working (Yes/No),Working,Arrival time of wagons,Demurrage occurs or not
,99,30115.122,6020.878,84,9,28,Tue,0,0,1,0,0,0,0,Yes,1,14.41666667,1
,100,30115.122,6020.878,84,0,21,Sat,0,0,0,0,0,0,1,No,0,7.5,0
Oct_17,101,29817.51,6318.49,84,0,21,Wed,0,0,0,1,0,0,0,Yes,1,6,0
,102,25918.374,10217.626,84,0,21,Wed,0,0,0,1,0,0,0,Yes,1,12.5,0
,103,25918.374,10217.626,84,0,29,Tue,0,0,1,0,0,0,0,Yes,1,7.25,0
,104,25918.374,10217.626,84,0,28,Mon,0,1,0,0,0,0,0,Yes,1,7.5,0
Nov_17,105,28214.46,7921.54,84,0,21,Thu,0,0,0,0,1,0,0,Yes,1,17.5,0
,106,28214.46,7921.54,84,0,21,Tue,0,0,1,0,0,0,0,Yes,1,7.5,0
,107,29390.213,6745.787,84,0,29,Fri,0,0,0,0,0,1,0,Yes,1,9.25,0
,108,28895.905,7240.095,84,0,21,Sat,0,0,0,0,0,0,1,No,0,13.66666667,0
,109,26085.75,10050.25,84,0,21,Fri,0,0,0,0,0,1,0,Yes,1,8.583333333,0
Dec_17,110,25008.8,11127.2,84,0,21,Sat,0,0,0,0,0,0,1,No,0,6,0
,111,25763.256,10372.744,84,0,28,Mon,0,1,0,0,0,0,0,Yes,1,6,0
,112,25571.129,10564.871,84,0,30,Tue,0,0,1,0,0,0,0,Yes,1,6,0
,113,25763.256,10372.744,84,0,29,Fri,0,0,0,0,0,1,0,Yes,1,21.75,0
,114,25571.129,10564.871,84,0,29,Thu,0,0,0,0,1,0,0,Yes,1,6,0
,115,26899.583,9236.417,84,0,21,Sat,0,0,0,0,0,0,1,No,0,6,0
,,,,,,,,,,,,,,,,,,
